Will Brodie (Fremantle)
Heath Chapman (Fremantle)
Jordan Clark (Fremantle)
Josh Corbett (Fremantle)
Brennan Cox (Fremantle)
Sean Darcy (Fremantle)
Tom Emmett (Fremantle)
Neil Erasmus (Fremantle)
Michael Frederick (Fremantle)
Nat Fyfe (Fremantle)
Joel Hamling (Fremantle)
Liam Henry (Fremantle)
Ethan Hughes (Fremantle)
Luke Jackson (Fremantle)
Matthew Johnson (Fremantle)
Nathan ODriscoll (Fremantle)
Jaeger OMeara (Fremantle)
Alex Pearce (Fremantle)
Luke Ryan (Fremantle)
Lachie Schultz (Fremantle)
Caleb Serong (Fremantle)
Ethan Stanley (Fremantle)
Sam Sturt (Fremantle)
Sam Switkowski (Fremantle)
Matthew Taberner (Fremantle)
Josh Treacy (Fremantle)
Corey Wagner (Fremantle)
Brandon Walker (Fremantle)
Michael Walters (Fremantle)
Nathan Wilson (Fremantle)
Karl Worner (Fremantle)
Hayden Young (Fremantle)
Tom Atkins (Geelong)
Jed Bews (Geelong)
Mark Blicavs (Geelong)
Jack Bowes (Geelong)
Tanner Bruhn (Geelong)
Jeremy Cameron (Geelong)
Jonathon Ceglar (Geelong)
Jhye Clark (Geelong)
Ted Clohesy (Geelong)
Brad Close (Geelong)
Toby Conway (Geelong)
Patrick Dangerfield (Geelong)
Sam De Koning (Geelong)
Oliver Dempsey (Geelong)
Mitch Duncan (Geelong)
Cameron Guthrie (Geelong)
Zach Guthrie (Geelong)
Tom Hawkins (Geelong)
Jack Henry (Geelong)
Oliver Henry (Geelong)
Max Holmes (Geelong)
Mitch Knevitt (Geelong)
Jake Kolodjashnij (Geelong)
Sam Menegola (Geelong)
Gryan Miers (Geelong)
Oisin Mullin (Geelong)
Shannon Neale (Geelong)
Mark OConnor (Geelong)
Brandan Parfitt (Geelong)
Esava Ratugolea (Geelong)
Gary Rohan (Geelong)
Sam Simpson (Geelong)
Isaac Smith (Geelong)
Rhys Stanley (Geelong)
Tyson Stengle (Geelong)
Tom Stewart (Geelong)
Zach Tuohy (Geelong)
Cooper Whyte (Geelong)
Ben Ainsworth (Gold Coast)
Noah Anderson (Gold Coast)
Mac Andrew (Gold Coast)
Rory Atkins (Gold Coast)
Charlie Ballard (Gold Coast)
Tom Berry (Gold Coast)
Connor Budarick (Gold Coast)
Chris Burgess (Gold Coast)
Levi Casboult (Gold Coast)
Mabior Chol (Gold Coast)
Sam Collins (Gold Coast)
Charlie Constable (Gold Coast)
Alex Davies (Gold Coast)
Sam Day (Gold Coast)
Brandon Ellis (Gold Coast)
Jy Farrar (Gold Coast)
Brayden Fiorini (Gold Coast)
Sam Flanders (Gold Coast)
Elijah Hollands (Gold Coast)
Nick Holman (Gold Coast)
Bailey Humphrey (Gold Coast)
Joel Jeffrey (Gold Coast)
Lloyd Johnston (Gold Coast)
Ben King (Gold Coast)
Sean Lemmens (Gold Coast)
Ben Long (Gold Coast)
Jack Lukosius (Gold Coast)
Darcy Macpherson (Gold Coast)
Touk Miller (Gold Coast)
Ned Moyle (Gold Coast)
Hewago Oea (Gold Coast)
Wil Powell (Gold Coast)
Malcolm Rosas (Gold Coast)
Matt Rowell (Gold Coast)
Alex Sexton (Gold Coast)
David Swallow (Gold Coast)
James Tsitas (Gold Coast)
Bodhi Uwland (Gold Coast)
Lachie Weller (Gold Coast)
Jarrod Witts (Gold Coast)
Ryan Angwin (Greater Western Sydney)
Lachie Ash (Greater Western Sydney)
Toby Bedford (Greater Western Sydney)
Kieren Briggs (Greater Western Sydney)
Callum Brown (Greater Western Sydney)
Jack Buckley (Greater Western Sydney)
Aaron Cadman (Greater Western Sydney)
Finn Callaghan (Greater Western Sydney)
Stephen Coniglio (Greater Western Sydney)
Isaac Cumming (Greater Western Sydney)
Brent Daniels (Greater Western Sydney)
Josh Fahey (Greater Western Sydney)
Cameron Fleeton (Greater Western Sydney)
Matt Flynn (Greater Western Sydney)
Tom Green (Greater Western Sydney)
Toby Greene (Greater Western Sydney)
Cooper Hamilton (Greater Western Sydney)
Nick Haynes (Greater Western Sydney)
Harry Himmelberg (Greater Western Sydney)
Jesse Hogan (Greater Western Sydney)
Connor Idun (Greater Western Sydney)
Lachlan Keeffe (Greater Western Sydney)
Josh Kelly (Greater Western Sydney)
Adam Kennedy (Greater Western Sydney)
Daniel Lloyd (Greater Western Sydney)
Toby McMullin (Greater Western Sydney)
Xavier OHalloran (Greater Western Sydney)
James Peatling (Greater Western Sydney)
Harry Perryman (Greater Western Sydney)
Jake Riccardi (Greater Western Sydney)
Harry Rowston (Greater Western Sydney)
Conor Stone (Greater Western Sydney)
Sam Taylor (Greater Western Sydney)
Callan Ward (Greater Western Sydney)
Jacob Wehr (Greater Western Sydney)
Lachie Whitfield (Greater Western Sydney)
Karl Amon (Hawthorn)
James Blanck (Hawthorn)
Lachlan Bramble (Hawthorn)
Luke Breust (Hawthorn)
Tyler Brockman (Hawthorn)
Will Day (Hawthorn)
Sam Frost (Hawthorn)
Denver Grainger-Barras (Hawthorn)
Fergus Greene (Hawthorn)
Blake Hardwick (Hawthorn)
Henry Hustwaite (Hawthorn)
Jarman Impey (Hawthorn)
Changkuoth Jiath (Hawthorn)
Jacob Koschitzke (Hawthorn)
Mitch Lewis (Hawthorn)
Ned Long (Hawthorn)
Max Lynch (Hawthorn)
Bailey Macdonald (Hawthorn)
Connor Macdonald (Hawthorn)
Cam Mackenzie (Hawthorn)
Finn Maginness (Hawthorn)
Lloyd Meek (Hawthorn)
Seamus Mitchell (Hawthorn)
